epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.751,1.21412,1.19394,1.20273,0.89775,0.83266,0.89759,0.60036,1.09567,0.74313,1.09947,0.00332982,0.00332982,0.00332982
2,306.567,1.24904,0.94863,1.20083,0.89167,0.77559,0.86904,0.52997,1.25327,0.88428,1.18969,0.00659719,0.00659719,0.00659719
3,479.088,1.41631,1.12759,1.28126,0.82706,0.68389,0.77316,0.44043,1.51065,1.21564,1.36434,0.00979855,0.00979855,0.00979855
4,649.339,1.4767,1.20321,1.3229,0.91212,0.79499,0.88332,0.52312,1.35733,0.95049,1.24596,0.009703,0.009703,0.009703
5,823.07,1.42251,1.11212,1.29596,0.89178,0.83153,0.89192,0.55513,1.27984,0.86971,1.21472,0.009604,0.009604,0.009604
6,997.009,1.36645,1.04659,1.26601,0.90683,0.83423,0.89681,0.56777,1.26477,0.83831,1.19252,0.009505,0.009505,0.009505
7,1172.46,1.32341,0.97693,1.23522,0.89657,0.84742,0.9078,0.60042,1.16823,0.75355,1.15095,0.009406,0.009406,0.009406
8,1347.11,1.27592,0.9378,1.21758,0.92239,0.87781,0.92488,0.61734,1.14028,0.69447,1.12552,0.009307,0.009307,0.009307
9,1520.56,1.25009,0.91546,1.20628,0.93267,0.87052,0.93158,0.61666,1.14126,0.70266,1.13625,0.009208,0.009208,0.009208
10,1693.29,1.22968,0.88544,1.18895,0.94055,0.87416,0.93598,0.63693,1.11512,0.66719,1.1054,0.009109,0.009109,0.009109
11,1864.01,1.21211,0.86092,1.18495,0.91908,0.87903,0.93604,0.64868,1.07832,0.65197,1.09767,0.00901,0.00901,0.00901
12,2021.17,1.18932,0.84144,1.16941,0.95503,0.84802,0.93802,0.64097,1.09807,0.64463,1.11628,0.008911,0.008911,0.008911
13,2179.03,1.17751,0.82424,1.1609,0.94874,0.87234,0.94071,0.6552,1.05646,0.61804,1.08091,0.008812,0.008812,0.008812
14,2339.26,1.1571,0.80838,1.15839,0.91947,0.8924,0.93957,0.66233,1.03875,0.61806,1.06638,0.008713,0.008713,0.008713
15,2512.89,1.13662,0.78908,1.14086,0.95396,0.88207,0.95055,0.67565,1.00605,0.58947,1.06025,0.008614,0.008614,0.008614
16,2688.95,1.1302,0.77921,1.14078,0.95044,0.89848,0.95283,0.6737,1.02087,0.57634,1.07547,0.008515,0.008515,0.008515
17,2850.42,1.11457,0.76677,1.13523,0.94609,0.8962,0.95288,0.67885,1.00677,0.57214,1.05784,0.008416,0.008416,0.008416
18,3016.84,1.10074,0.74954,1.12825,0.94807,0.89666,0.95404,0.68119,0.99209,0.55142,1.05305,0.008317,0.008317,0.008317
19,3193.44,1.08897,0.73623,1.11927,0.94532,0.90385,0.95313,0.68832,0.97437,0.54409,1.0487,0.008218,0.008218,0.008218
20,3361.44,1.08273,0.72802,1.11714,0.95992,0.90456,0.95777,0.69354,0.96902,0.53505,1.04025,0.008119,0.008119,0.008119
21,3520.97,1.06824,0.71848,1.1068,0.95201,0.90517,0.9576,0.68863,0.95807,0.53291,1.03689,0.00802,0.00802,0.00802
22,3681.37,1.06651,0.71642,1.10823,0.95987,0.90141,0.95852,0.6979,0.95222,0.51387,1.03472,0.007921,0.007921,0.007921
23,3848.72,1.05786,0.70633,1.10593,0.94727,0.90644,0.96087,0.70058,0.9443,0.52489,1.03229,0.007822,0.007822,0.007822
24,4008.56,1.04712,0.6959,1.09714,0.95322,0.9155,0.96073,0.71229,0.93131,0.50505,1.02612,0.007723,0.007723,0.007723
25,4169.39,1.03291,0.68997,1.09442,0.959,0.90638,0.96175,0.71252,0.93563,0.49801,1.02771,0.007624,0.007624,0.007624
26,4337.53,1.03017,0.67786,1.09099,0.95937,0.90423,0.96312,0.71542,0.91541,0.48956,1.01815,0.007525,0.007525,0.007525
