epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.28948,1.02919,1.9265,1.34257,0.59465,0.85,0.84885,0.632,1.63551,1.06251,1.37695,0,0,0
2,1.99922,1.26365,2.46605,1.61259,0.57829,0.85,0.84762,0.63126,1.64443,1.05224,1.3774,1.07219e-06,1.07219e-06,1.07219e-06
3,2.59357,0.77748,2.10859,1.20429,0.59116,0.85,0.84923,0.65008,1.65849,1.06006,1.3812,1.90876e-06,1.90876e-06,1.90876e-06
4,3.20086,0.98276,1.66174,1.24141,0.61383,0.85,0.84945,0.65005,1.65641,1.05494,1.38023,2.50971e-06,2.50971e-06,2.50971e-06
5,3.83228,0.74778,1.83574,1.10098,0.62409,0.85,0.87831,0.65363,1.63017,1.03533,1.36338,2.87504e-06,2.87504e-06,2.87504e-06
6,4.4289,1.23741,2.63875,1.53071,0.63712,0.85,0.85287,0.65164,1.60735,1.01903,1.34266,3.00475e-06,3.00475e-06,3.00475e-06
7,5.0209,1.19546,1.96161,1.38665,0.65075,0.85,0.85305,0.63456,1.58175,1.01251,1.32971,2.89884e-06,2.89884e-06,2.89884e-06
8,5.60225,0.91778,1.77849,1.28178,0.65181,0.85,0.85582,0.63567,1.59965,1.01938,1.33875,2.55731e-06,2.55731e-06,2.55731e-06
9,6.23833,1.09424,1.75994,1.32186,0.6616,0.85,0.85452,0.63549,1.57691,1.00497,1.32749,1.98016e-06,1.98016e-06,1.98016e-06
10,6.8539,1.04431,2.24026,1.33846,0.66842,0.85,0.8553,0.63585,1.56752,0.99488,1.32119,1.16739e-06,1.16739e-06,1.16739e-06
